"Reference","Value","Footprint","Datasheet","LCSC Part","Cdad"
"C1","CA45-B-16V-22UF-M","easyeda2kicad:CAP-SMD_L3.5-W2.8-R-RD","https://lcsc.com/product-detail/Tantalum-Capacitors_22uF-226-20-16V_C140371.html","C140371","1"
"C2","4.7uF","Capacitor_SMD:C_0805_2012Metric","~","","1"
"C3, C4","10uF","Capacitor_SMD:C_0805_2012Metric","~","","2"
"C5","100nF","Capacitor_SMD:C_0603_1608Metric","~","","1"
"C6-C8","22uF","Capacitor_SMD:C_0805_2012Metric","~","","3"
"CN1","2001SMT-2P_C132500","easyeda2kicad:CONN-SMD_2001SMT-2P-WT","https://lcsc.com/product-detail/PH-Connectors_Shenzhen-Cancome-2001series-socket-1-2P-2mm_C132500.html","C132500","1"
"D1","SS14","easyeda2kicad:SMA_L4.2-W2.6-LS5.3-RD","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_SS14_C2480.html","C2480","1"
"D2, D3","LED","LED_SMD:LED_0805_2012Metric","~","","2"
"H1","DB301V-5.0-2P","easyeda2kicad:CONN-TH_2P-P5.00_L7.6-W10.0","https://lcsc.com/product-detail/Screw-terminal_DIBO-DB301V-5-0-2P_C395882.html","C395882","1"
"J1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","1"
"J2, J3","Conn_01x01_Pin","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~","","2"
"L1","PSPNAQ4030-1R5M","easyeda2kicad:IND-SMD_L4.0-W4.0","","C436670","1"
"Q1","AO3401A_C347476","easyeda2kicad:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","https://lcsc.com/product-detail/Others_Youtai-Semiconductor-Co-Ltd-AO3401A-4-1A_C347476.html","C347476","1"
"R1, R3","1K","Resistor_SMD:R_0805_2012Metric","~","","2"
"R2","3.6K","Resistor_SMD:R_0805_2012Metric","~","","1"
"R4, R6","1M","Resistor_SMD:R_0805_2012Metric","~","","2"
"R5","180K","Resistor_SMD:R_0805_2012Metric","~","","1"
"R7, R8","0","Resistor_SMD:R_0402_1005Metric","~","","2"
"U1","CN3063","easyeda2kicad:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.3-1","https://lcsc.com/product-detail/PMIC-AC-DC-Converters_CN3063_C28078.html","C28078","1"
"U3","TPS63020DSJR","easyeda2kicad:VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ","https://lcsc.com/product-detail/DC-DC-Converters_TI_TPS63020DSJR_TPS63020DSJR_C15483.html","C15483","1"
"USBC1","TYPE-C-31-M-12","easyeda2kicad:USB-C_SMD-TYPE-C-31-M-12","https://lcsc.com/product-detail/USB-Type-C_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.html","C165948","1"
